reportdate,hospital,dphcategory,covidstatus,patientcount,hospitalreportingpct,data_loaded_at,data_as_of
2020/06/12,All SF Hospitals,ICU,COVID+,13,1,01/04/2024 05:30:03 PM,01/04/2024 04:00:06 PM
2020/06/12,All SF Hospitals,Med/Surg,COVID+,25,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/13,All SF Hospitals,ICU,COVID+,11,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/13,All SF Hospitals,Med/Surg,COVID+,26,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/14,All SF Hospitals,ICU,COVID+,7,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/14,All SF Hospitals,Med/Surg,COVID+,30,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/15,All SF Hospitals,ICU,COVID+,7,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/15,All SF Hospitals,Med/Surg,COVID+,25,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/16,All SF Hospitals,ICU,COVID+,7,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/16,All SF Hospitals,Med/Surg,COVID+,27,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/17,All SF Hospitals,ICU,COVID+,7,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/17,All SF Hospitals,Med/Surg,COVID+,25,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/18,All SF Hospitals,ICU,COVID+,7,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/18,All SF Hospitals,Med/Surg,COVID+,22,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
2020/06/19,All SF Hospitals,ICU,COVID+,6,1,01/04/2024 05:30:04 PM,01/04/2024 04:00:06 PM
